,name,age,joining_date,income,job_category,remote,unknown1,city,country,unknown2,gender,phone,email,marital_status,employment_status,job_role,analytics,dashboard,experience,company
52,Felicia Ford,,,28940,A,,,Lake Ericchester,Antarctica (the territory South of 60 deg S),True,Other,624.579.5091,,single,unemployed,Automotive engineer,Other,Other,10,Davis-Allen
53,Lisa Schroeder,35,,133902,B,No,003,West Arthur,Guadeloupe,,Other,101-463-3567,,single,unemployed,Catering manager,Python,Other,7,"Hughes, Williams and Thompson"
54,Kimberly Macias,,,28084,C,Yes,003,West Christinahaven,Namibia,True,,307-541-1660,,single,,"Psychologist, forensic",Other,Other,0,
55,Kristi Cummings,,,120878,A,No,003,Richardbury,Lesotho,False,Other,+1-397-188-7852x094,,,employed,Broadcast engineer,Excel,Other,3,
56,Rachel Miranda,,,111952,B,No,001,Schwartzville,Samoa,,M,520-798-2388,,married,,Training and development officer,Python,Other,4,Franklin-Henry
57,Jeffery White,,2023-01-08,42917,Unknown,No,,Port Dominiqueberg,Belgium,False,M,001-942-687-1894x27930,,,freelancer,Computer games developer,Other,R,0,"Soto, Ramos and Martin"
58,David Montes,,,133356,C,No,,Caitlinstad,Syrian Arab Republic,,Other,347-408-1666,,,,Podiatrist,Python,Tableau,3,
59,Robert Lopez,42,,128987,Unknown,Yes,,Carrhaven,French Polynesia,False,,073.605.1346x7211,aaronmitchell@yahoo.com,married,,"Producer, radio",Other,R,1,Hill-Lopez
60,Austin Lester,,,42789,Unknown,No,001,Yolandafurt,Martinique,,Other,001-059-540-6718x227,,,employed,"Surveyor, insurance",Python,Other,6,"Snyder, Burns and Stephens"
61,Christopher Tran,,,14410,B,No,,Taylortown,United Kingdom,,F,999-029-5235x3392,,single,,Podiatrist,Excel,PowerBI,7,
62,Roy Perkins,,2024-08-03,19711,B,No,003,Mirandaton,Iran,,F,211-229-9690,hesternatalie@novak.com,,,Orthoptist,SQL,Tableau,2,
63,Michael Jones,,,135460,C,No,abc,Lake Nicoleton,Heard Island and McDonald Islands,,,0539686182,,single,,Armed forces training and education officer,Python,Other,2,
64,Heather Edwards,,,116230,B,No,003,Martinezfort,Singapore,False,,(963)876-9289,,single,unemployed,Tourist information centre manager,Other,Other,5,
65,Mary Lewis,,2023-12-24,108758,B,Yes,,Kathrynmouth,Netherlands,True,,046-924-6024,,,freelancer,"Engineer, agricultural",SQL,Other,5,
66,Kathleen Moreno,58,,40855,B,Yes,003,Willieborough,Panama,,M,001-428-847-1241x312,,,unemployed,Education administrator,Excel,R,5,
67,David Turner,44,2024-11-13,146402,C,,,Port Elizabethfurt,Peru,,F,001-607-220-2871x929,,,freelancer,"Production assistant, radio",Python,PowerBI,7,
68,Anna Austin,27,,100885,B,Yes,001,Robinsonville,Taiwan,,,990-951-7260x43210,xrios@jones-murray.info,,freelancer,Software engineer,Python,Other,6,
69,William Fisher,41,2023-05-30,90984,A,Yes,,Huffton,Saint Martin,,Other,001-156-656-8112x7988,,,employed,Health promotion specialist,SQL,PowerBI,0,"Johnson, Baker and Erickson"
70,Elizabeth Mcintyre,49,2022-07-17,145914,C,Yes,abc,Laurastad,Netherlands Antilles,,,726-897-3827x10292,,married,,"Research officer, political party",Excel,Other,9,Mendoza LLC
71,Lisa Davis,35,2024-08-24,121574,A,No,001,Arellanohaven,Malta,,,836.114.4022x22742,,,employed,Site engineer,Other,R,3,
72,Brenda Bernard,47,2024-11-15,10598,A,No,002,Sabrinafort,Vanuatu,False,,(166)792-0805,angelajohnson@collier-bates.com,single,,Community arts worker,SQL,Other,3,
73,Billy Young,39,,42929,C,,003,Johnsonhaven,Belize,False,M,(755)980-3533x9988,,single,unemployed,Accounting technician,Excel,R,3,
74,Alexander Rice,38,2023-06-17,38228,Unknown,,001,South Raymondside,Guam,True,,(755)157-7991,,,,Local government officer,Other,PowerBI,7,
75,Tammy Holder,,2024-06-23,141695,B,No,,Mariaburgh,Guatemala,True,M,+1-561-378-0578x420,,,,Hospital doctor,Excel,Other,7,
76,Sherri Mahoney,,,38080,B,,,Millerton,Thailand,,,599-156-0004x6101,,,,Optometrist,Other,Other,6,
77,Jamie Hess,62,,61367,Unknown,No,002,Davidview,Netherlands Antilles,,Other,146-489-0365x7940,,,,"Scientist, research (physical sciences)",Excel,R,6,"Lutz, Hunt and Davis"
78,Kimberly Lee,,2022-09-18,129326,B,Yes,001,West Edward,French Polynesia,True,,(668)197-6720x158,gmcguire@gmail.com,,unemployed,Clinical cytogeneticist,Other,PowerBI,9,
79,Jose Williams,,2024-01-27,115870,A,Yes,,Lake Josephmouth,Romania,,Other,808.673.1314,vargasjeffery@gmail.com,married,unemployed,Event organiser,Other,Tableau,1,"Klein, Jones and Mccarthy"
80,Eugene Jackson,,2022-09-13,64286,Unknown,,,Lake Dennis,Norway,True,,(142)960-7376,,,employed,Research scientist (maths),SQL,R,4,Bush PLC
81,Devon Clark,40,2023-05-13,110063,B,No,,Robertstad,Eritrea,True,M,001-295-092-8027x504,,married,,Contractor,Other,Other,5,
82,Xavier Jenkins,,2024-04-15,27270,A,No,002,New Benjamin,Georgia,True,M,253-892-2888x25451,,,,"Geologist, engineering",Other,Other,7,"Atkins, Sanchez and Todd"
83,Faith Wolfe,35,,117699,B,Yes,,Edwardsmouth,India,,,(550)102-6564,,,employed,Sports administrator,SQL,Other,9,
84,Elizabeth Lopez,18,2023-06-10,40975,B,Yes,003,West David,Sri Lanka,True,M,121.733.0318x1642,,,unemployed,Furniture designer,SQL,Other,8,
85,Andrew Sanchez,,,97842,B,Yes,,New Joelshire,Togo,True,,+1-928-736-6241x865,shepardkevin@rubio.org,,employed,"Designer, exhibition/display",Python,Other,6,
86,Charles Velasquez,,,111176,A,No,002,East Samantha,Honduras,,Other,6620010620,donaldgreen@hotmail.com,,employed,Corporate investment banker,SQL,Other,9,Turner-Berry
87,Lisa Williams,51,,94001,A,No,002,Port Randallfurt,Senegal,True,,313-885-6435x7643,,single,,Insurance broker,Other,Tableau,5,Fletcher Inc
88,Darryl Jones,,2024-11-09,43389,B,No,002,Andrewside,Cook Islands,False,M,001-544-820-2981,walter99@spencer.info,,,Multimedia specialist,Other,Other,7,
89,Devon Nelson,,,87873,C,No,001,Garciabury,Ghana,,,920.688.2605,,,freelancer,Purchasing manager,Other,PowerBI,5,
90,William Lawrence,,,19913,C,Yes,001,New Beckytown,Svalbard & Jan Mayen Islands,True,,001-896-172-4778x0263,,,,Materials engineer,Other,Other,0,"Ramos, Watts and Myers"
91,Jo Liu,,2022-06-03,129683,Unknown,No,001,West Patrickstad,Algeria,,M,854.380.9569x8717,,single,,Rural practice surveyor,SQL,PowerBI,3,
92,Jennifer Matthews,,,46614,C,No,003,Nguyenstad,Tanzania,,,+1-453-309-5464x4876,,single,freelancer,"Designer, graphic",Excel,R,1,
93,Whitney Schultz,,2023-10-11,44419,C,Yes,,Merrittport,Maldives,False,Other,001-426-594-5589x6301,,,unemployed,Volunteer coordinator,Other,PowerBI,4,
94,Natasha Ellison,,2023-03-02,142990,B,Yes,,South Albertton,Ecuador,,M,+1-423-645-7731x394,,,unemployed,Surgeon,SQL,R,7,
95,Nicholas Coleman,32,2025-01-11,31513,Unknown,,,New Codyburgh,Malawi,True,Other,(045)861-5232,,married,,Scientific laboratory technician,Other,Tableau,2,
96,Maria Lee,,2022-08-02,16453,Unknown,No,,Mcconnellville,Zambia,False,,546.778.4989x84287,,,,Clinical embryologist,SQL,Other,3,Huerta Ltd
97,Megan Lara,48,2023-10-18,120499,Unknown,Yes,abc,East Davidfurt,Latvia,,F,(512)928-8232x54878,bcook@hotmail.com,married,freelancer,"Scientist, biomedical",Excel,Other,5,
98,Brenda Green,,,79727,B,No,003,New Zachary,Guatemala,,,834.753.1015x6665,ryan00@hotmail.com,,employed,Chief Financial Officer,SQL,Other,5,
99,Nicole Jackson,44,,66807,Unknown,Yes,003,East Mistyhaven,Bulgaria,False,M,064-596-8196,,single,freelancer,Mudlogger,SQL,Tableau,0,Barrett PLC
100,Zachary Williams,,2023-07-08,127974,Unknown,,001,Port Russellfurt,Zambia,True,M,+1-059-216-6187x865,,married,unemployed,Wellsite geologist,Other,Other,8,Michael and Sons
101,Raymond Booth,,2022-06-29,17517,A,Yes,,New Timothy,Central African Republic,,M,4671580242,carolmckinney@gmail.com,,,"Horticulturist, commercial",Other,PowerBI,10,
102,Maureen White,54,2022-07-12,5410,C,No,,East Nicole,Gibraltar,,F,001-461-534-8728,,single,,Futures trader,Python,PowerBI,8,
103,Kimberly Ingram,,,128243,A,Yes,003,Lopezchester,Vietnam,,M,0124139533,,single,freelancer,Brewing technologist,SQL,PowerBI,9,
104,Holly Wright,39,2025-11-02,93748,C,No,,Sanchezmouth,Nepal,,F,7879511674,hnewman@johnson-durham.biz,single,,Water engineer,Excel,R,3,
105,David Davis,30,2024-07-26,140104,Unknown,,abc,Stevenside,Canada,,M,(366)192-5013x51850,,married,freelancer,Warehouse manager,Python,PowerBI,10,"Wilson, Wu and Adams"
106,Johnny Johnson,35,2023-12-06,109863,Unknown,Yes,003,Xaviermouth,Bosnia and Herzegovina,False,,(789)670-7826x0804,,,freelancer,"Psychologist, sport and exercise",Other,R,1,
107,Daniel Hernandez,45,,52305,Unknown,Yes,003,New Brady,Swaziland,True,M,921.774.2247x1711,,,freelancer,Secretary/administrator,Other,Other,6,
108,Emily Joseph,,2023-02-13,97421,Unknown,Yes,,Lake Tiffanyport,Mozambique,True,M,119.037.9193x3533,,,freelancer,"Psychologist, forensic",Other,Tableau,0,
109,Tracey Sanders,,,22624,A,No,003,North Kenneth,Nauru,,,+1-744-795-8435x641,thompsonchristopher@hotmail.com,married,,"Therapist, nutritional",Python,R,7,
110,Vanessa Jones,54,,87414,B,No,001,Adrianbury,Falkland Islands (Malvinas),True,F,103-530-7406x06289,,,,Community pharmacist,Excel,R,4,
111,James Ryan,46,,133765,A,Yes,002,Heatherside,Ghana,True,,5211558523,imendoza@yahoo.com,,employed,"Surveyor, planning and development",Python,R,1,
112,Nicole Hernandez,,2023-03-16,50636,C,,002,Dennismouth,Egypt,True,F,(685)395-8366x282,madison76@yahoo.com,married,,Medical illustrator,Excel,R,8,
113,Stephanie Drake,,,27600,B,Yes,abc,Port Paulshire,Azerbaijan,,,+1-498-500-1764x478,,,,Rural practice surveyor,Excel,Tableau,5,
114,Theodore Mooney,,,95312,C,,,Lorimouth,Rwanda,False,F,001-062-933-7783x64868,,single,employed,"Education officer, community",Other,Tableau,4,
115,Amanda Oconnor,,2023-12-18,141025,B,Yes,003,Lake Richard,Bahamas,False,,+1-780-801-0111x69819,,married,freelancer,Animal nutritionist,Other,Other,1,
116,Sarah Campbell,59,,45421,C,,,North Rogermouth,China,,,170-811-6326x9997,mwu@page.com,single,employed,"Horticulturist, commercial",Excel,Other,4,
117,Melissa Butler,,,12939,Unknown,,003,Port Jenniferview,Indonesia,,,069.297.7785x433,nicholasshah@gmail.com,,freelancer,Immunologist,Other,PowerBI,0,
118,Robert Taylor,,,94179,C,No,,Port Christina,Saint Helena,,Other,1674844940,,married,freelancer,Tourism officer,Other,Other,1,Edwards Ltd
119,Natasha Roberts,,2024-12-08,69990,C,Yes,001,New Arielton,Isle of Man,,,142-645-6615x91314,,,unemployed,Photographer,SQL,R,9,
120,Robin Hubbard,38,2024-01-07,139932,Unknown,No,003,Rangelstad,Saint Pierre and Miquelon,,M,524-079-6563,caseydonald@gmail.com,,,"Doctor, hospital",Other,Tableau,3,
121,Joshua Jones,40,2023-08-02,128361,B,,001,Mariobury,Saint Lucia,True,,(790)698-1931x122,hperez@bruce.com,,freelancer,Theatre director,Other,R,0,Adams-Boyer
122,Katrina Garcia,,,80655,B,Yes,,Caldwellbury,Iran,,,580.829.0181x5797,,single,unemployed,Community development worker,Excel,Other,5,Richardson Ltd
123,Danielle Luna,,2022-06-15,138463,Unknown,,001,Catherinebury,Gibraltar,True,M,8255676123,delacruzjohnathan@roman-ritter.biz,,,"Lecturer, higher education",Other,Other,2,
124,Martha Orr,50,2023-04-27,88500,C,Yes,,North Elizabethfurt,Ghana,,,235-342-7506,,,,Product manager,Python,Other,0,Thomas-Kelly
125,Dorothy Payne,,2023-12-22,85655,A,,abc,Smithland,Lebanon,,,540-745-2141,,married,employed,Immigration officer,Other,Other,2,
126,Gerald Robbins,,,104664,C,No,001,West Barbaraborough,Cuba,True,F,(985)656-5711,dcoleman@gutierrez.biz,,freelancer,Actuary,Other,Tableau,6,
127,Michelle Yoder,,,128628,A,No,,East Stanleyhaven,United Arab Emirates,False,,255.677.7751x204,,,,Horticultural consultant,Other,R,2,"Washington, Rodriguez and Castillo"
128,Michael Johnson,,,74300,Unknown,No,002,Shermanborough,Benin,,,288-024-9262,,married,freelancer,Metallurgist,Python,Tableau,7,Harris-Logan
129,Desiree Myers,,,76685,B,Yes,,East Sharon,Samoa,,,0839417786,,married,freelancer,Armed forces technical officer,Excel,R,1,Hendricks LLC
130,Harold Bailey,,2023-11-04,61095,A,,003,Port Shawnmouth,Marshall Islands,,F,3024790665,ballsarah@valdez.com,married,unemployed,Museum/gallery conservator,Excel,Other,3,
131,Julia Nelson,32,2024-12-23,128837,B,No,001,West Kimberlyshire,Guam,False,,426-940-6302x7709,,,,Waste management officer,SQL,R,5,Allen LLC
132,Aaron Myers,59,2024-12-08,65875,Unknown,Yes,002,New Nicole,Benin,,F,775.930.0662x321,stephaniegardner@byrd.org,,,Advertising account executive,SQL,R,0,
133,Joshua Hill,,,92829,B,No,,North Kathleenberg,Norway,,F,651.014.9501x8873,,,freelancer,"Scientist, marine",SQL,PowerBI,5,
134,Leslie Brandt,,2023-08-11,8692,C,Yes,,Tammyland,Maldives,False,F,+1-530-373-4367x53495,,,,Marketing executive,Other,R,1,"Wise, Foster and Peters"
135,Patrick Decker,60,2025-01-31,130161,C,No,001,Zacharyfurt,Palestinian Territory,,,916-662-7568x1705,katherine54@carney.com,,freelancer,Armed forces training and education officer,Python,R,9,
136,Rebecca Woods,54,2024-08-28,66945,A,Yes,abc,West Lindsey,Tunisia,,F,001-046-327-1292x11932,,,employed,Financial adviser,Python,R,9,
137,Jason Shaw,32,,102943,Unknown,,abc,New Ralphland,Spain,False,F,284.488.7396x123,,single,,Clinical biochemist,Other,Other,5,
138,Barbara Thompson,54,2025-12-04,137510,A,,,Lake Michael,Uzbekistan,False,F,773-890-5841x74406,,,employed,"Scientist, biomedical",SQL,Other,7,
139,Michael Baldwin,,2023-03-18,139544,Unknown,No,,New Craigmouth,Macao,True,,390.783.6167x089,,,employed,"Scientist, water quality",Other,R,0,
140,Lisa Norris,,2024-09-13,95316,B,,001,Martinezview,Netherlands,True,,(081)336-3500x446,annettemartin@yahoo.com,,,Health physicist,SQL,Tableau,10,
141,Crystal Rivera,,2024-05-27,105264,Unknown,Yes,abc,Garciamouth,Equatorial Guinea,True,,001-194-778-7681x583,devin44@hotmail.com,,employed,Ceramics designer,SQL,Other,6,
142,Edwin Alvarado,,2024-12-26,10959,B,No,,Jamesside,Estonia,,,229-076-4146x9664,,married,unemployed,Clinical psychologist,Other,R,2,Cortez Inc
143,Ryan Andersen,,2024-06-28,114901,A,No,002,Curtishaven,Hungary,True,M,+1-232-277-6597x571,,single,,Systems developer,Other,PowerBI,3,
144,Linda Johnson,,,61955,A,No,,Aguilarmouth,Serbia,,F,001-364-137-2395x60407,,,,Jewellery designer,Other,R,3,"Garcia, Sanders and Smith"
145,Tamara Montgomery,,,83774,B,Yes,,Lake Christinabury,Macao,False,,+1-418-733-9992x1200,,,employed,Physiotherapist,Python,Other,8,Smith Inc
146,Andrew Vaughn,,,103686,C,,abc,Lake Larry,Papua New Guinea,False,F,261-548-4154,,married,,Higher education lecturer,Excel,Other,6,Brown Ltd
147,Brooke Smith,,2023-08-31,71845,A,No,,Jaychester,Korea,True,,+1-844-394-2815,,single,,Community development worker,SQL,PowerBI,4,"Lynch, Welch and Weaver"
148,Raymond Vasquez,,,24079,A,,,Goodwinmouth,Brazil,False,,902.585.3024x9504,gerald98@ross-jones.net,,freelancer,Financial controller,Excel,Tableau,3,
149,Michelle Martinez,,,58611,Unknown,No,,Heatherberg,Micronesia,,Other,031-861-8126x6233,,,,"Teacher, music",Python,R,4,"Mendoza, Lynch and Martinez"
150,Dr. Joseph Cortez,,,128074,C,No,003,East Roberttown,Egypt,,,742-088-4818,vrojas@hotmail.com,married,unemployed,Equities trader,Excel,R,8,
151,Theodore Brown,,,56430,C,No,abc,Davisburgh,Jordan,False,,060-617-9575,,,freelancer,"Scientist, forensic",Other,Other,7,
152,Joshua Johnson,,2024-04-16,148273,Unknown,No,,Jamesborough,Cook Islands,True,,001-467-376-0968,xhall@yahoo.com,single,employed,"Accountant, chartered management",Excel,Other,2,
153,Erica Gregory,32,2024-02-02,137574,Unknown,No,001,Christopherfort,Lebanon,,,+1-274-535-0266,alane@hopkins-smith.com,single,,Chief Technology Officer,Other,Other,0,
154,Crystal Malone,,2023-08-02,80153,A,,,Jessicabury,China,,F,927.684.1150,joy78@miller.com,single,,"Presenter, broadcasting",SQL,Tableau,3,
155,Jonathan Anderson,,2024-06-05,109044,B,No,abc,Port Kenneth,San Marino,,,001-833-502-2137,burgessjames@yahoo.com,married,freelancer,Health promotion specialist,Excel,PowerBI,1,Lewis Inc
156,Vanessa Hogan,,,7477,C,Yes,abc,Shawnstad,Monaco,,Other,001-940-840-1053x984,,single,,Sports therapist,Excel,Tableau,3,
157,Mr. Ryan Henry DDS,,2024-12-13,24489,B,,,East Susanport,India,True,F,(439)059-7192,,single,unemployed,Web designer,Other,Tableau,6,
158,Dr. David Martin,37,,107015,Unknown,No,abc,North Lauren,Libyan Arab Jamahiriya,False,M,+1-774-962-4075x8689,,,employed,Theatre director,Excel,Other,3,
159,Alyssa Cole,,,108993,C,Yes,,Port Seanmouth,Guam,,,001-932-932-2103x234,,married,freelancer,Geophysical data processor,Other,Other,6,
160,Carol Jimenez,,,82431,A,Yes,001,West Sean,Svalbard & Jan Mayen Islands,,F,+1-209-897-6130x87341,,married,,Hydrologist,Python,R,1,
161,Amy Fisher,,,75717,B,No,001,Allenfurt,China,False,,(837)949-6997,,,employed,Solicitor,Excel,PowerBI,5,
162,Rachel Williams,,,105987,A,Yes,abc,Lake Sarah,Fiji,,M,105.336.2305,,married,,General practice doctor,Other,Tableau,10,Coleman-Johnson
163,Patrick Berry,28,2024-01-11,134269,C,Yes,002,Lake Susanborough,Kazakhstan,,Other,001-752-185-8762x565,,,,Higher education careers adviser,Excel,R,4,
164,Michael Noble,,,56261,Unknown,Yes,002,Port Kevin,Ukraine,,M,988.623.6184x2258,,,,Computer games developer,Other,R,7,"Martin, Ware and Villanueva"
165,John Kidd,,,89060,A,No,003,New Victoriaberg,Cuba,False,,354.276.0823x1383,,,,Further education lecturer,Other,Tableau,5,"Fletcher, Patel and Herrera"
