Michael Rogers,,20-08-2024,"{""monthly"": 5565}",unknown,Y,abc,New Chadport,Belize,,,+1-668-847-4082x455,,,unemployed,"Producer, television/film/video",SQL,R,3,
Melanie Lee,,,"{""monthly"": 87209}",A,yes,,Amberburgh,South Africa,,,4950674644,,married,employed,Communications engineer,,PowerBI,2,
Wesley Valdez,56,2025/05/02,"{""monthly"": 69543}",A,,001,South Wendyberg,Russian Federation,,,807.585.6760x214,,,freelancer,Network engineer,SQL,R,3,Olsen-Cross
William Lewis,43,"Jun 21, 2024","{""monthly"": 24016}",A,0,,New Lori,Bahrain,True,M,+1-485-428-3049x373,,married,,"Therapist, occupational",Python,Tableau,5,
Zachary Allen,,"Feb 16, 2024","{""monthly"": 147401}",b,,,Rodriguezfort,Russian Federation,True,,(995)722-6963x471,,single,unemployed,"Engineer, broadcasting (operations)",Python,PowerBI,1,
Lauren Dominguez,53,"Oct 12, 2023","{""monthly"": 60215}",c,No,,Robertsside,Lithuania,,,454-704-0647,,,employed,"Scientist, water quality",Excel,,4,
Stephen Campbell,,2022/06/25,"{""monthly"": 73670}",C,0,,South Charles,Uzbekistan,,,(586)309-9012x982,smithjoshua@allen.com,single,employed,"Radiographer, diagnostic",SQL,,0,"White, Myers and Hall"
Andrea Smith,,2023/01/29,"{""monthly"": 15965}",b,N,001,New Brandon,Macao,,F,001-790-650-5581,,married,employed,Architectural technologist,Python,,6,
Hector Lee,65,2022/06/29,51413,unknown,yes,002,South Michael,Bouvet Island (Bouvetoya),,,+1-449-862-6817x0607,,married,freelancer,"Surveyor, rural practice",SQL,PowerBI,6,
Victoria Yu,48,2024/01/04,125665,c,Y,002,East Briannaside,Palestinian Territory,False,M,265.322.0372x8833,,married,,Professor Emeritus,Python,R,1,Simmons-Stewart
Paula Hutchinson,,,"{""monthly"": 145565}",c,yes,001,Brianberg,Hong Kong,,F,001-640-464-0965x010,,,employed,Insurance risk surveyor,Excel,,6,Franklin PLC
Joseph Long,,invalid,"{""monthly"": 139066}",B,1,,Johntown,Hungary,False,Other,+1-299-929-2549x116,brendaleon@gmail.com,,employed,"Psychologist, sport and exercise",,,10,
Mr. Robert Cole,,2025/02/17,"{""monthly"": 23343}",c,,003,Lake Daniel,Angola,True,Other,001-582-990-2013,,,,Control and instrumentation engineer,Python,,4,
Mandy Oconnell,26,invalid,"{""monthly"": 104390}",C,,,Aprilland,Paraguay,,,(022)656-1218x7030,,single,freelancer,Travel agency manager,Python,Tableau,6,
Paul Figueroa,,"May 24, 2025","{""monthly"": 120909}",a,,abc,East Christine,Kazakhstan,False,M,+1-516-129-3372,,,employed,Mining engineer,SQL,R,3,
Jamie Obrien,27,13-05-2024,"{""monthly"": 129554}",B,0,abc,Lake Kyle,Belarus,False,,075-735-5797,,,unemployed,"Therapist, drama",SQL,PowerBI,1,Knight-Alvarez
Shannon Stevens,32,,"{""monthly"": 70325}",B,0,002,Seanshire,Japan,,,744-501-4743x0584,,,,"Designer, industrial/product",,,6,
Krista Nelson,46,invalid,"{""monthly"": 69812}",b,,abc,New Johnfort,Norfolk Island,False,Other,2825052849,,single,freelancer,Conference centre manager,SQL,R,5,"Johnson, Patel and Logan"
Barry Burton,52,2023/06/17,"{""monthly"": 105410}",C,No,001,Johnland,El Salvador,,,001-517-776-8117x003,,,,Sales promotion account executive,Excel,Tableau,6,Dean PLC
Ruben Martin,,21-12-2024,104714,,yes,003,Lake Judithburgh,Botswana,,,(294)493-6976,,married,,Software engineer,SQL,R,6,Duncan Inc
Angela Thomas,,"Apr 12, 2023","{""monthly"": 110989}",C,0,002,Ortizland,Cuba,True,,845-357-5003,,single,employed,Commercial/residential surveyor,,Tableau,7,
Jerome Zuniga,,invalid,"{""monthly"": 124196}",c,N,abc,North Anthonyfort,Svalbard & Jan Mayen Islands,,,620.694.9930x75902,,single,,Oceanographer,Excel,,0,"Jones, Dyer and Parks"
Kathy Johnson,,24-07-2022,15553,A,No,002,East Barbara,United States Virgin Islands,True,,019-220-6556,lorraine27@hotmail.com,married,unemployed,"Engineer, aeronautical",,PowerBI,9,
John Torres,,"Nov 14, 2023",48984,B,no,003,Michelemouth,Greenland,True,,+1-338-023-5504x912,steven23@hotmail.com,,,"Engineer, aeronautical",,,3,
Christopher Lewis,,2024/09/25,"{""monthly"": 84058}",B,,001,Fowlerfort,Saint Lucia,,,+1-661-050-1124x599,,,employed,Conference centre manager,,R,0,Maldonado PLC
Donald Strickland,49,invalid,125517,C,1,002,South Michaelmouth,Puerto Rico,,,(653)669-4143x1283,,,,Health and safety inspector,,,4,Brown-Morrison
Anthony Lee,33,"May 10, 2025",68927,,,,Greenfurt,New Zealand,,Other,+1-480-842-5240x050,carrie62@underwood-liu.info,,freelancer,Government social research officer,SQL,,3,Wilson LLC
Patricia Robertson,,"Jan 29, 2025",77422,,yes,,Brownborough,Ireland,False,M,745.025.7085x713,flong@watkins-hood.net,,,Corporate investment banker,,Tableau,7,
Phillip Collins PhD,,invalid,29393,b,No,abc,Danielleton,Cambodia,False,Other,(186)264-8348x23113,,,,Ceramics designer,,,5,Parsons-Benjamin
Jaclyn Morales,,"Nov 26, 2022","{""monthly"": 123946}",b,Y,003,Sharonmouth,Guadeloupe,False,M,(029)028-1963x66055,,married,freelancer,Midwife,Excel,,2,
Deanna Monroe,,invalid,"{""monthly"": 142530}",b,Yes,002,North Noahstad,French Polynesia,,F,001-055-206-9314,,married,freelancer,"Therapist, occupational",Excel,,2,Gray-Johnson
Robert Atkinson,20,,"{""monthly"": 38103}",,Yes,001,Lake Marthashire,Mali,,,026.589.2997x601,,,freelancer,Food technologist,SQL,PowerBI,4,Harvey-Kramer
William Khan,25,invalid,"{""monthly"": 19053}",C,no,,Ortizstad,Guinea-Bissau,,M,391-726-8528,robertalvarado@heath.biz,single,,English as a second language teacher,,,9,
Jacqueline Thomas,,invalid,"{""monthly"": 121056}",b,,abc,Gabrielaton,Lebanon,,,001-460-336-6472x482,,single,,"Embryologist, clinical",Excel,Tableau,10,
Melissa Wood MD,,10-07-2023,"{""monthly"": 50564}",,Yes,002,Port Raven,Cook Islands,True,,9410097954,,,freelancer,Writer,Excel,Tableau,4,
Andrea Rogers,,invalid,"{""monthly"": 66190}",b,,,West Austinberg,Nigeria,False,,(716)392-4048x65802,lindseykeith@hotmail.com,married,unemployed,Field trials officer,Python,Tableau,1,
Brandon Howell,,,80657,,Yes,abc,Chavezborough,Togo,,,+1-823-306-4353x937,,,,"Surveyor, minerals",Excel,,0,Casey Inc
Felicia Ford,,,"{""monthly"": 28940}",a,,,Lake Ericchester,Antarctica (the territory South of 60 deg S),True,Other,624.579.5091,,single,unemployed,Automotive engineer,,,10,Davis-Allen
Lisa Schroeder,35,,"{""monthly"": 133902}",B,0,003,West Arthur,Guadeloupe,,Other,101-463-3567,,single,unemployed,Catering manager,Python,,7,"Hughes, Williams and Thompson"
Kimberly Macias,,,"{""monthly"": 28084}",c,Y,003,West Christinahaven,Namibia,True,,307-541-1660,,single,,"Psychologist, forensic",,,0,
Kristi Cummings,,,120878,A,No,003,Richardbury,Lesotho,False,Other,+1-397-188-7852x094,,,employed,Broadcast engineer,Excel,,3,
Rachel Miranda,,,"{""monthly"": 111952}",B,No,001,Schwartzville,Samoa,,M,520-798-2388,,married,,Training and development officer,Python,,4,Franklin-Henry
Jeffery White,,2023/01/08,"{""monthly"": 42917}",unknown,No,,Port Dominiqueberg,Belgium,False,M,001-942-687-1894x27930,,,freelancer,Computer games developer,,R,0,"Soto, Ramos and Martin"
David Montes,,,"{""monthly"": 133356}",C,0,,Caitlinstad,Syrian Arab Republic,,Other,347-408-1666,,,,Podiatrist,Python,Tableau,3,
Robert Lopez,42,invalid,"{""monthly"": 128987}",unknown,1,,Carrhaven,French Polynesia,False,,073.605.1346x7211,aaronmitchell@yahoo.com,married,,"Producer, radio",,R,1,Hill-Lopez
Austin Lester,,invalid,"{""monthly"": 42789}",unknown,no,001,Yolandafurt,Martinique,,Other,001-059-540-6718x227,,,employed,"Surveyor, insurance",Python,,6,"Snyder, Burns and Stephens"
Christopher Tran,,invalid,14410,B,No,,Taylortown,United Kingdom,,F,999-029-5235x3392,,single,,Podiatrist,Excel,PowerBI,7,
Roy Perkins,,08-03-2024,"{""monthly"": 19711}",b,N,003,Mirandaton,Iran,,F,211-229-9690,hesternatalie@novak.com,,,Orthoptist,SQL,Tableau,2,
Michael Jones,,,"{""monthly"": 135460}",C,No,abc,Lake Nicoleton,Heard Island and McDonald Islands,,,0539686182,,single,,Armed forces training and education officer,Python,,2,
Heather Edwards,,,"{""monthly"": 116230}",b,0,003,Martinezfort,Singapore,False,,(963)876-9289,,single,unemployed,Tourist information centre manager,,,5,
Mary Lewis,,"Dec 24, 2023","{""monthly"": 108758}",b,yes,,Kathrynmouth,Netherlands,True,,046-924-6024,,,freelancer,"Engineer, agricultural",SQL,,5,
Kathleen Moreno,58,,"{""monthly"": 40855}",B,yes,003,Willieborough,Panama,,M,001-428-847-1241x312,,,unemployed,Education administrator,Excel,R,5,
David Turner,44,2024/11/13,"{""monthly"": 146402}",c,,,Port Elizabethfurt,Peru,,F,001-607-220-2871x929,,,freelancer,"Production assistant, radio",Python,PowerBI,7,
Anna Austin,27,invalid,100885,B,1,001,Robinsonville,Taiwan,,,990-951-7260x43210,xrios@jones-murray.info,,freelancer,Software engineer,Python,,6,
William Fisher,41,2023/05/30,"{""monthly"": 90984}",a,Yes,,Huffton,Saint Martin,,Other,001-156-656-8112x7988,,,employed,Health promotion specialist,SQL,PowerBI,0,"Johnson, Baker and Erickson"
Elizabeth Mcintyre,49,17-07-2022,"{""monthly"": 145914}",C,1,abc,Laurastad,Netherlands Antilles,,,726-897-3827x10292,,married,,"Research officer, political party",Excel,,9,Mendoza LLC
Lisa Davis,35,"Aug 24, 2024","{""monthly"": 121574}",a,N,001,Arellanohaven,Malta,,,836.114.4022x22742,,,employed,Site engineer,,R,3,
Brenda Bernard,47,2024/11/15,"{""monthly"": 10598}",A,N,002,Sabrinafort,Vanuatu,False,,(166)792-0805,angelajohnson@collier-bates.com,single,,Community arts worker,SQL,,3,
Billy Young,39,,"{""monthly"": 42929}",C,,003,Johnsonhaven,Belize,False,M,(755)980-3533x9988,,single,unemployed,Accounting technician,Excel,R,3,
Alexander Rice,38,2023/06/17,"{""monthly"": 38228}",unknown,,001,South Raymondside,Guam,True,,(755)157-7991,,,,Local government officer,,PowerBI,7,
Tammy Holder,,23-06-2024,141695,b,0,,Mariaburgh,Guatemala,True,M,+1-561-378-0578x420,,,,Hospital doctor,Excel,,7,
Sherri Mahoney,,,"{""monthly"": 38080}",b,,,Millerton,Thailand,,,599-156-0004x6101,,,,Optometrist,,,6,
Jamie Hess,62,,61367,unknown,0,002,Davidview,Netherlands Antilles,,Other,146-489-0365x7940,,,,"Scientist, research (physical sciences)",Excel,R,6,"Lutz, Hunt and Davis"
Kimberly Lee,,"Sep 18, 2022",129326,B,Yes,001,West Edward,French Polynesia,True,,(668)197-6720x158,gmcguire@gmail.com,,unemployed,Clinical cytogeneticist,,PowerBI,9,
Jose Williams,,27-01-2024,"{""monthly"": 115870}",A,Y,,Lake Josephmouth,Romania,,Other,808.673.1314,vargasjeffery@gmail.com,married,unemployed,Event organiser,,Tableau,1,"Klein, Jones and Mccarthy"
Eugene Jackson,,13-09-2022,64286,unknown,,,Lake Dennis,Norway,True,,(142)960-7376,,,employed,Research scientist (maths),SQL,R,4,Bush PLC
Devon Clark,40,2023/05/13,110063,B,no,,Robertstad,Eritrea,True,M,001-295-092-8027x504,,married,,Contractor,,,5,
Xavier Jenkins,,"Apr 15, 2024",27270,A,no,002,New Benjamin,Georgia,True,M,253-892-2888x25451,,,,"Geologist, engineering",,,7,"Atkins, Sanchez and Todd"
Faith Wolfe,35,,"{""monthly"": 117699}",B,Y,,Edwardsmouth,India,,,(550)102-6564,,,employed,Sports administrator,SQL,,9,
Elizabeth Lopez,18,"Jun 10, 2023",40975,b,Y,003,West David,Sri Lanka,True,M,121.733.0318x1642,,,unemployed,Furniture designer,SQL,,8,
Andrew Sanchez,,,97842,B,1,,New Joelshire,Togo,True,,+1-928-736-6241x865,shepardkevin@rubio.org,,employed,"Designer, exhibition/display",Python,,6,
Charles Velasquez,,invalid,"{""monthly"": 111176}",A,N,002,East Samantha,Honduras,,Other,6620010620,donaldgreen@hotmail.com,,employed,Corporate investment banker,SQL,,9,Turner-Berry
Lisa Williams,51,invalid,94001,a,N,002,Port Randallfurt,Senegal,True,,313-885-6435x7643,,single,,Insurance broker,,Tableau,5,Fletcher Inc
Darryl Jones,,2024/11/09,"{""monthly"": 43389}",b,No,002,Andrewside,Cook Islands,False,M,001-544-820-2981,walter99@spencer.info,,,Multimedia specialist,,,7,
Devon Nelson,,,"{""monthly"": 87873}",C,0,001,Garciabury,Ghana,,,920.688.2605,,,freelancer,Purchasing manager,,PowerBI,5,
William Lawrence,,invalid,"{""monthly"": 19913}",c,Y,001,New Beckytown,Svalbard & Jan Mayen Islands,True,,001-896-172-4778x0263,,,,Materials engineer,,,0,"Ramos, Watts and Myers"
Jo Liu,,2022/06/03,"{""monthly"": 129683}",,no,001,West Patrickstad,Algeria,,M,854.380.9569x8717,,single,,Rural practice surveyor,SQL,PowerBI,3,
Jennifer Matthews,,,"{""monthly"": 46614}",c,N,003,Nguyenstad,Tanzania,,,+1-453-309-5464x4876,,single,freelancer,"Designer, graphic",Excel,R,1,
Whitney Schultz,,"Oct 11, 2023","{""monthly"": 44419}",c,Yes,,Merrittport,Maldives,False,Other,001-426-594-5589x6301,,,unemployed,Volunteer coordinator,,PowerBI,4,
Natasha Ellison,,"Mar 02, 2023",142990,B,1,,South Albertton,Ecuador,,M,+1-423-645-7731x394,,,unemployed,Surgeon,SQL,R,7,
Nicholas Coleman,32,2025/01/11,"{""monthly"": 31513}",,,,New Codyburgh,Malawi,True,Other,(045)861-5232,,married,,Scientific laboratory technician,,Tableau,2,
Maria Lee,,2022/08/02,16453,unknown,N,,Mcconnellville,Zambia,False,,546.778.4989x84287,,,,Clinical embryologist,SQL,,3,Huerta Ltd
Megan Lara,48,"Oct 18, 2023","{""monthly"": 120499}",,Y,abc,East Davidfurt,Latvia,,F,(512)928-8232x54878,bcook@hotmail.com,married,freelancer,"Scientist, biomedical",Excel,,5,
Brenda Green,,,79727,B,no,003,New Zachary,Guatemala,,,834.753.1015x6665,ryan00@hotmail.com,,employed,Chief Financial Officer,SQL,,5,
Nicole Jackson,44,invalid,"{""monthly"": 66807}",unknown,Yes,003,East Mistyhaven,Bulgaria,False,M,064-596-8196,,single,freelancer,Mudlogger,SQL,Tableau,0,Barrett PLC
Zachary Williams,,2023/07/08,127974,,,001,Port Russellfurt,Zambia,True,M,+1-059-216-6187x865,,married,unemployed,Wellsite geologist,,,8,Michael and Sons
Raymond Booth,,2022/06/29,"{""monthly"": 17517}",a,1,,New Timothy,Central African Republic,,M,4671580242,carolmckinney@gmail.com,,,"Horticulturist, commercial",,PowerBI,10,
Maureen White,54,2022/07/12,"{""monthly"": 5410}",c,No,,East Nicole,Gibraltar,,F,001-461-534-8728,,single,,Futures trader,Python,PowerBI,8,
Kimberly Ingram,,,"{""monthly"": 128243}",A,1,003,Lopezchester,Vietnam,,M,0124139533,,single,freelancer,Brewing technologist,SQL,PowerBI,9,
Holly Wright,39,11-02-2025,"{""monthly"": 93748}",C,0,,Sanchezmouth,Nepal,,F,7879511674,hnewman@johnson-durham.biz,single,,Water engineer,Excel,R,3,
David Davis,30,"Jul 26, 2024",140104,unknown,,abc,Stevenside,Canada,,M,(366)192-5013x51850,,married,freelancer,Warehouse manager,Python,PowerBI,10,"Wilson, Wu and Adams"
Johnny Johnson,35,"Dec 06, 2023","{""monthly"": 109863}",,1,003,Xaviermouth,Bosnia and Herzegovina,False,,(789)670-7826x0804,,,freelancer,"Psychologist, sport and exercise",,R,1,
Daniel Hernandez,45,invalid,"{""monthly"": 52305}",,Y,003,New Brady,Swaziland,True,M,921.774.2247x1711,,,freelancer,Secretary/administrator,,,6,
Emily Joseph,,"Feb 13, 2023","{""monthly"": 97421}",unknown,Y,,Lake Tiffanyport,Mozambique,True,M,119.037.9193x3533,,,freelancer,"Psychologist, forensic",,Tableau,0,
Tracey Sanders,,invalid,"{""monthly"": 22624}",a,N,003,North Kenneth,Nauru,,,+1-744-795-8435x641,thompsonchristopher@hotmail.com,married,,"Therapist, nutritional",Python,R,7,
Vanessa Jones,54,,"{""monthly"": 87414}",b,No,001,Adrianbury,Falkland Islands (Malvinas),True,F,103-530-7406x06289,,,,Community pharmacist,Excel,R,4,
James Ryan,46,,"{""monthly"": 133765}",a,Yes,002,Heatherside,Ghana,True,,5211558523,imendoza@yahoo.com,,employed,"Surveyor, planning and development",Python,R,1,
Nicole Hernandez,,"Mar 16, 2023",50636,c,,002,Dennismouth,Egypt,True,F,(685)395-8366x282,madison76@yahoo.com,married,,Medical illustrator,Excel,R,8,
Stephanie Drake,,,"{""monthly"": 27600}",B,Y,abc,Port Paulshire,Azerbaijan,,,+1-498-500-1764x478,,,,Rural practice surveyor,Excel,Tableau,5,
Theodore Mooney,,invalid,"{""monthly"": 95312}",C,,,Lorimouth,Rwanda,False,F,001-062-933-7783x64868,,single,employed,"Education officer, community",,Tableau,4,
Amanda Oconnor,,2023/12/18,"{""monthly"": 141025}",b,Yes,003,Lake Richard,Bahamas,False,,+1-780-801-0111x69819,,married,freelancer,Animal nutritionist,,,1,
Sarah Campbell,59,,45421,C,,,North Rogermouth,China,,,170-811-6326x9997,mwu@page.com,single,employed,"Horticulturist, commercial",Excel,,4,
Melissa Butler,,invalid,"{""monthly"": 12939}",,,003,Port Jenniferview,Indonesia,,,069.297.7785x433,nicholasshah@gmail.com,,freelancer,Immunologist,,PowerBI,0,
Robert Taylor,,invalid,"{""monthly"": 94179}",C,N,,Port Christina,Saint Helena,,Other,1674844940,,married,freelancer,Tourism officer,,,1,Edwards Ltd
Natasha Roberts,,12-08-2024,"{""monthly"": 69990}",C,Yes,001,New Arielton,Isle of Man,,,142-645-6615x91314,,,unemployed,Photographer,SQL,R,9,
Robin Hubbard,38,2024/01/07,"{""monthly"": 139932}",,0,003,Rangelstad,Saint Pierre and Miquelon,,M,524-079-6563,caseydonald@gmail.com,,,"Doctor, hospital",,Tableau,3,
Joshua Jones,40,08-02-2023,"{""monthly"": 128361}",b,,001,Mariobury,Saint Lucia,True,,(790)698-1931x122,hperez@bruce.com,,freelancer,Theatre director,,R,0,Adams-Boyer
Katrina Garcia,,,"{""monthly"": 80655}",B,1,,Caldwellbury,Iran,,,580.829.0181x5797,,single,unemployed,Community development worker,Excel,,5,Richardson Ltd
Danielle Luna,,2022/06/15,"{""monthly"": 138463}",unknown,,001,Catherinebury,Gibraltar,True,M,8255676123,delacruzjohnathan@roman-ritter.biz,,,"Lecturer, higher education",,,2,
Martha Orr,50,"Apr 27, 2023",88500,C,1,,North Elizabethfurt,Ghana,,,235-342-7506,,,,Product manager,Python,,0,Thomas-Kelly
Dorothy Payne,,22-12-2023,85655,A,,abc,Smithland,Lebanon,,,540-745-2141,,married,employed,Immigration officer,,,2,
Gerald Robbins,,,104664,C,No,001,West Barbaraborough,Cuba,True,F,(985)656-5711,dcoleman@gutierrez.biz,,freelancer,Actuary,,Tableau,6,
Michelle Yoder,,,128628,A,no,,East Stanleyhaven,United Arab Emirates,False,,255.677.7751x204,,,,Horticultural consultant,,R,2,"Washington, Rodriguez and Castillo"
Michael Johnson,,,"{""monthly"": 74300}",,No,002,Shermanborough,Benin,,,288-024-9262,,married,freelancer,Metallurgist,Python,Tableau,7,Harris-Logan
Desiree Myers,,,76685,b,Yes,,East Sharon,Samoa,,,0839417786,,married,freelancer,Armed forces technical officer,Excel,R,1,Hendricks LLC
Harold Bailey,,"Nov 04, 2023",61095,a,,003,Port Shawnmouth,Marshall Islands,,F,3024790665,ballsarah@valdez.com,married,unemployed,Museum/gallery conservator,Excel,,3,
Julia Nelson,32,23-12-2024,"{""monthly"": 128837}",B,no,001,West Kimberlyshire,Guam,False,,426-940-6302x7709,,,,Waste management officer,SQL,R,5,Allen LLC
Aaron Myers,59,12-08-2024,"{""monthly"": 65875}",,yes,002,New Nicole,Benin,,F,775.930.0662x321,stephaniegardner@byrd.org,,,Advertising account executive,SQL,R,0,
Joshua Hill,,,"{""monthly"": 92829}",b,0,,North Kathleenberg,Norway,,F,651.014.9501x8873,,,freelancer,"Scientist, marine",SQL,PowerBI,5,
Leslie Brandt,,"Aug 11, 2023",8692,c,Y,,Tammyland,Maldives,False,F,+1-530-373-4367x53495,,,,Marketing executive,,R,1,"Wise, Foster and Peters"
Patrick Decker,60,2025/01/31,130161,c,No,001,Zacharyfurt,Palestinian Territory,,,916-662-7568x1705,katherine54@carney.com,,freelancer,Armed forces training and education officer,Python,R,9,
Rebecca Woods,54,"Aug 28, 2024","{""monthly"": 66945}",A,Yes,abc,West Lindsey,Tunisia,,F,001-046-327-1292x11932,,,employed,Financial adviser,Python,R,9,
Jason Shaw,32,invalid,"{""monthly"": 102943}",unknown,,abc,New Ralphland,Spain,False,F,284.488.7396x123,,single,,Clinical biochemist,,,5,
Barbara Thompson,54,12-04-2025,137510,a,,,Lake Michael,Uzbekistan,False,F,773-890-5841x74406,,,employed,"Scientist, biomedical",SQL,,7,
Michael Baldwin,,18-03-2023,"{""monthly"": 139544}",unknown,0,,New Craigmouth,Macao,True,,390.783.6167x089,,,employed,"Scientist, water quality",,R,0,
Lisa Norris,,13-09-2024,"{""monthly"": 95316}",B,,001,Martinezview,Netherlands,True,,(081)336-3500x446,annettemartin@yahoo.com,,,Health physicist,SQL,Tableau,10,
Crystal Rivera,,"May 27, 2024",105264,,1,abc,Garciamouth,Equatorial Guinea,True,,001-194-778-7681x583,devin44@hotmail.com,,employed,Ceramics designer,SQL,,6,
Edwin Alvarado,,2024/12/26,10959,b,0,,Jamesside,Estonia,,,229-076-4146x9664,,married,unemployed,Clinical psychologist,,R,2,Cortez Inc
Ryan Andersen,,28-06-2024,"{""monthly"": 114901}",A,No,002,Curtishaven,Hungary,True,M,+1-232-277-6597x571,,single,,Systems developer,,PowerBI,3,
Linda Johnson,,invalid,"{""monthly"": 61955}",A,no,,Aguilarmouth,Serbia,,F,001-364-137-2395x60407,,,,Jewellery designer,,R,3,"Garcia, Sanders and Smith"
Tamara Montgomery,,,"{""monthly"": 83774}",b,yes,,Lake Christinabury,Macao,False,,+1-418-733-9992x1200,,,employed,Physiotherapist,Python,,8,Smith Inc
Andrew Vaughn,,invalid,"{""monthly"": 103686}",C,,abc,Lake Larry,Papua New Guinea,False,F,261-548-4154,,married,,Higher education lecturer,Excel,,6,Brown Ltd
Brooke Smith,,2023/08/31,"{""monthly"": 71845}",a,N,,Jaychester,Korea,True,,+1-844-394-2815,,single,,Community development worker,SQL,PowerBI,4,"Lynch, Welch and Weaver"
Raymond Vasquez,,,"{""monthly"": 24079}",a,,,Goodwinmouth,Brazil,False,,902.585.3024x9504,gerald98@ross-jones.net,,freelancer,Financial controller,Excel,Tableau,3,
Michelle Martinez,,invalid,58611,unknown,No,,Heatherberg,Micronesia,,Other,031-861-8126x6233,,,,"Teacher, music",Python,R,4,"Mendoza, Lynch and Martinez"
Dr. Joseph Cortez,,invalid,"{""monthly"": 128074}",c,No,003,East Roberttown,Egypt,,,742-088-4818,vrojas@hotmail.com,married,unemployed,Equities trader,Excel,R,8,
Theodore Brown,,invalid,"{""monthly"": 56430}",c,No,abc,Davisburgh,Jordan,False,,060-617-9575,,,freelancer,"Scientist, forensic",,,7,
Joshua Johnson,,2024/04/16,"{""monthly"": 148273}",,no,,Jamesborough,Cook Islands,True,,001-467-376-0968,xhall@yahoo.com,single,employed,"Accountant, chartered management",Excel,,2,
Erica Gregory,32,2024/02/02,"{""monthly"": 137574}",,N,001,Christopherfort,Lebanon,,,+1-274-535-0266,alane@hopkins-smith.com,single,,Chief Technology Officer,,,0,
Crystal Malone,,"Aug 02, 2023","{""monthly"": 80153}",A,,,Jessicabury,China,,F,927.684.1150,joy78@miller.com,single,,"Presenter, broadcasting",SQL,Tableau,3,
Jonathan Anderson,,"Jun 05, 2024","{""monthly"": 109044}",B,N,abc,Port Kenneth,San Marino,,,001-833-502-2137,burgessjames@yahoo.com,married,freelancer,Health promotion specialist,Excel,PowerBI,1,Lewis Inc
Vanessa Hogan,,,"{""monthly"": 7477}",C,Yes,abc,Shawnstad,Monaco,,Other,001-940-840-1053x984,,single,,Sports therapist,Excel,Tableau,3,
Mr. Ryan Henry DDS,,"Dec 13, 2024","{""monthly"": 24489}",b,,,East Susanport,India,True,F,(439)059-7192,,single,unemployed,Web designer,,Tableau,6,
Dr. David Martin,37,,"{""monthly"": 107015}",,N,abc,North Lauren,Libyan Arab Jamahiriya,False,M,+1-774-962-4075x8689,,,employed,Theatre director,Excel,,3,
Alyssa Cole,,,108993,c,yes,,Port Seanmouth,Guam,,,001-932-932-2103x234,,married,freelancer,Geophysical data processor,,,6,
